target_text,search_text,body_type
23306,23306 Adamfields,23306 Adamfields,asteroid
6146,6146 Adamkrafft,6146 Adamkrafft,asteroid
15421,15421 Adammalin,15421 Adammalin,asteroid
34127,34127 Adamnayak,34127 Adamnayak,asteroid
6537,6537 Adamovich,6537 Adamovich,asteroid
13434,13434 Adamquade,13434 Adamquade,asteroid
7655,7655 Adamries,7655 Adamries,asteroid
236305,236305 Adamriess,236305 Adamriess,asteroid
1996,1996 Adams,1996 Adams,asteroid
18142,18142 Adamsidman,18142 Adamsidman,asteroid
12838,12838 Adamsmith,12838 Adamsmith,asteroid
22551,22551 Adamsolomon,22551 Adamsolomon,asteroid
18413,18413 Adamspencer,18413 Adamspencer,asteroid
20503,20503 Adamtazi,20503 Adamtazi,asteroid
101432,101432 Adamwest,101432 Adamwest,asteroid
18084,18084 Adamwohl,18084 Adamwohl,asteroid
6757,6757 Addibischoff,6757 Addibischoff,asteroid
19444,19444 Addicott,19444 Addicott,asteroid
27286,27286 Adedmondson,27286 Adedmondson,asteroid
525,525 Adelaide,525 Adelaide,asteroid
812,812 Adele,812 Adele,asteroid
647,647 Adelgunde,647 Adelgunde,asteroid
276,276 Adelheid,276 Adelheid,asteroid
26386,26386 Adelinacozma,26386 Adelinacozma,asteroid
229,229 Adelinda,229 Adelinda,asteroid
60001,60001 Adelka,60001 Adelka,asteroid
145,145 Adeona,145 Adeona,asteroid
175166,175166 Adirondack,175166 Adirondack,asteroid
25642,25642 Adiseshan,25642 Adiseshan,asteroid
4401,4401 Aditi,4401 Aditi,asteroid
30175,30175 Adityajain,30175 Adityajain,asteroid
31899,31899 Adityamohan,31899 Adityamohan,asteroid
24238,24238 Adkerson,24238 Adkerson,asteroid
11519,11519 Adler,11519 Adler,asteroid
398,398 Admete,398 Admete,asteroid
85030,85030 Admetos,85030 Admetos,asteroid
17806,17806 Adolfborn,17806 Adolfborn,asteroid
608,608 Adolfine,608 Adolfine,asteroid
20256,20256 Adolfneckar,20256 Adolfneckar,asteroid
166570,166570 Adolftrager,166570 Adolftrager,asteroid
2101,2101 Adonis,2101 Adonis,asteroid
268,268 Adorea,268 Adorea,asteroid
21029,21029 Adorno,21029 Adorno,asteroid
239,239 Adrastea,239 Adrastea,asteroid
143,143 Adria,143 Adria,asteroid
820,820 Adriana,820 Adriana,asteroid
121236,121236 Adrianagutierrez,121236 Adrianagutierrez,asteroid
32008,32008 Adriangalad,32008 Adriangalad,asteroid
163255,163255 Adrianhill,163255 Adrianhill,asteroid
21758,21758 Adrianveres,21758 Adrianveres,asteroid
6530,6530 Adry,6530 Adry,asteroid
3646,3646 Aduatiques,3646 Aduatiques,asteroid
31474,31474 Advaithanand,31474 Advaithanand,asteroid
34256,34256 Advaitpatil,34256 Advaitpatil,asteroid
23017,23017 Advincula,23017 Advincula,asteroid
1903,1903 Adzhimushkaj,1903 Adzhimushkaj,asteroid
10237,10237 Adzic,10237 Adzic,asteroid
15420,15420 Aedouglass,15420 Aedouglass,asteroid
91,91 Aegina,91 Aegina,asteroid
96,96 Aegle,96 Aegle,asteroid
2401,2401 Aehlita,2401 Aehlita,asteroid
159,159 Aemilia,159 Aemilia,asteroid
1155,1155 Aenna,1155 Aenna,asteroid
10175,10175 Aenona,10175 Aenona,asteroid
396,396 Aeolia,396 Aeolia,asteroid
264476,264476 Aepic,264476 Aepic,asteroid
369,369 Aeria,369 Aeria,asteroid
413033,413033 Aerts,413033 Aerts,asteroid
2876,2876 Aeschylus,2876 Aeschylus,asteroid
1027,1027 Aesculapia,1027 Aesculapia,asteroid
12608,12608 Aesop,12608 Aesop,asteroid
446,446 Aeternitas,446 Aeternitas,asteroid
132,132 Aethra,132 Aethra,asteroid
1064,1064 Aethusa,1064 Aethusa,asteroid
1142,1142 Aetolia,1142 Aetolia,asteroid
22993,22993 Aferrari,22993 Aferrari,asteroid
15467,15467 Aflorsch,15467 Aflorsch,asteroid
1187,1187 Afra,1187 Afra,asteroid
1193,1193 Africa,1193 Africa,asteroid
6391,6391 Africano,6391 Africano,asteroid
3326,3326 Agafonikov,3326 Agafonikov,asteroid
14042,14042 Agafonov,14042 Agafonov,asteroid
911,911 Agamemnon,911 Agamemnon,asteroid
5023,5023 Agapenor,5023 Agapenor,asteroid
2267,2267 Agassiz,2267 Agassiz,asteroid
13185,13185 Agasthenes,13185 Agasthenes,asteroid
221908,221908 Agastrophus,221908 Agastrophus,asteroid
111570,111570 Agasvar,111570 Agasvar,asteroid
7366,7366 Agata,7366 Agata,asteroid
228,228 Agathe,228 Agathe,asteroid
31344,31344 Agathon,31344 Agathon,asteroid
3862,3862 Agekian,3862 Agekian,asteroid
4722,4722 Agelaos,4722 Agelaos,asteroid
2470,2470 Agematsu,2470 Agematsu,asteroid
1873,1873 Agenor,1873 Agenor,asteroid
7137,7137 Ageo,7137 Ageo,asteroid
27072,27072 Aggarwal,27072 Aggarwal,asteroid
152533,152533 Aggas,152533 Aggas,asteroid
21009,21009 Agilkia,21009 Agilkia,asteroid
4392,4392 Agita,4392 Agita,asteroid
47,47 Aglaja,47 Aglaja,asteroid
641,641 Agnes,641 Agnes,asteroid
118214,118214 Agnesediboemia,118214 Agnesediboemia,asteroid
16765,16765 Agnesi,16765 Agnesi,asteroid
49109,49109 Agnesraab,49109 Agnesraab,asteroid
398188,398188 Agni,398188 Agni,asteroid
847,847 Agnia,847 Agnia,asteroid
12848,12848 Agostino,12848 Agostino,asteroid
9503,9503 Agrawain,9503 Agrawain,asteroid
3212,3212 Agricola,3212 Agricola,asteroid
15372,15372 Agrigento,15372 Agrigento,asteroid
645,645 Agrippina,645 Agrippina,asteroid
8241,8241 Agrius,8241 Agrius,asteroid
135978,135978 Agueros,135978 Agueros,asteroid
1800,1800 Aguilar,1800 Aguilar,asteroid
744,744 Aguntina,744 Aguntina,asteroid
17984,17984 Ahantonioli,17984 Ahantonioli,asteroid
21435,21435 Aharon,21435 Aharon,asteroid
24761,24761 Ahau,24761 Ahau,asteroid
21400,21400 Ahdout,21400 Ahdout,asteroid
25638,25638 Ahissar,25638 Ahissar,asteroid
